from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1702Z1,U1702Z1,1,,317_10_190224,318_124_180909
U1702Z1,U1702Z1,1,,317_10_180505,318_124_180909
U1702Z2,U1702Z2,1,,321_20_180501,318_125_180909
U1702Z1,U1702Z1,1,,317_38_190224,318_126_180909
U1702Z1,U1702Z1,1,,317_38_180501,318_126_180909
U1712Z2,U1712Z3,1,,317_40_180501,446_7_180501
U1712Z2,U1712Z3,1,,317_40_180505,446_7_180501
U1712Z1,U1712Z3,1,,317_2_180501,446_70_180501
U1712Z1,U1712Z3,1,,317_2_180505,446_70_180501
U1712Z1,U1712Z3,1,,317_32_180501,446_21_180430
U1712Z1,U1712Z3,1,,317_32_180702,446_21_180430
U1712Z1,U1712Z3,1,,317_32_180505,446_21_180430
U1712Z2,U1712Z3,1,,317_33_180501,446_23_180430
U1712Z2,U1712Z3,1,,317_33_180702,446_23_180430
U1712Z2,U1712Z3,1,,317_33_180505,446_23_180430
U1712Z1,U1712Z3,1,,317_15_190224,446_27_180430
U1712Z1,U1712Z3,1,,317_15_180702,446_27_180430
U1712Z1,U1712Z3,1,,317_15_180701,446_27_180430
U1712Z1,U1712Z3,1,,317_6_190224,446_33_180430
U1712Z1,U1712Z3,1,,317_6_180702,446_33_180430
U1712Z1,U1712Z3,1,,317_6_180701,446_33_180430
U1712Z2,U1712Z3,1,,317_42_180701,446_72_180501
U1712Z1,U1712Z3,1,,317_34_180501,446_45_180430
U1712Z1,U1712Z3,1,,317_34_180702,446_45_180430
U1712Z1,U1712Z3,1,,317_34_180505,446_45_180430
